(0.7505510197309156, 0.2878573778329694)
(0.45529194170309506, 0.26862146566104084)
(0.23803554324778986, 0.5303440952305504)
(0.7202835418065966, 0.29721451103554175)
(0.2787097666555287, 0.07951532620824486)
(0.4233182057620304, 0.6301454081010217)
(0.20170507319377395, 0.26791775814549157)
(0.6685406058632002, 0.3937898524530252)
(0.33568674957830347, 0.5411611054313331)
(0.055830688227447745, 0.11952260018981786)
(0.5765764804536494, 0.34062060464281885)
(0.09893368354218757, 0.9820430110452318)
(0.7676374547090109, 0.9873899838782468)
