(0.5334732042946458, 0.47441743757475696)
(0.6100569086310375, 0.1482544633055637)
(0.6834506033604173, 0.7967348429649015)
(0.07357033202662655, 0.6440476117546634)
(0.9338408137780482, 0.7967897845464474)
(0.7118255094160525, 0.025561076805621474)
(0.012149618039404841, 0.41625512703558354)
(0.1415352216918423, 0.4169090619064215)
(0.5214175461799734, 0.37503778475262506)
(0.09317637216501673, 0.4372035242797925)
(0.23068030385409832, 0.7414988951335795)
(0.4577487243759174, 0.5088769957554133)
(0.9968931361004308, 0.6532967091659326)
(0.4001133423740362, 0.8861806212884915)
