(0.2765461793810099, 0.11065736987068941)
(0.8049308543702607, 0.5164134931657937)
(0.1778620526301976, 0.46602662951315454)
(0.4280228367405946, 0.0947042168073653)
(0.2715474210474831, 0.20690378434264878)
(0.5432067830561543, 0.812000228540196)
(0.36913269698640283, 0.13575048949287782)
(0.6281910412045587, 0.7170203553243943)
(0.4158048839927565, 0.33910920934953903)
(0.5327116084265328, 0.30825320406104895)
(0.3293932917091543, 0.40473702208876017)
(0.13531941142689097, 0.44192345848663417)
(0.8986736201621387, 0.07066351330354226)
(0.6464225738860283, 0.5606730167309573)
(0.10093946675290955, 0.5473383890640541)
