(0.5976618214790809, 0.9681024839860761)
(0.15342616639682827, 0.9174243904931183)
(0.6457253406342204, 0.6891747637232418)
(0.2834326801792776, 0.4555615892018102)
(0.0015620981019651703, 0.4359660661154934)
(0.24819150323650274, 0.41915950175031114)
(0.9315802712128931, 0.961992447361552)
(0.14307456072275282, 0.6254861180151704)
(0.8367324586559708, 0.6686517512640906)
(0.442511241072158, 0.7481133672592114)
(0.5918086020263422, 0.6432771428925624)
(0.7644358971649319, 0.11689819473601648)
(0.8568129196721606, 0.09351966883261165)
(0.7913345827108089, 0.7070064014827842)
(0.4712549536694295, 0.6667002324156083)
(0.0034410619415449206, 0.7411096548204035)
